House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Edwards Creek,Kyle,Davis,47.0,Head,Married,Male,Unemployed,None,Catholic
1,Edwards Creek,Alexandra,Davis,49.0,Wife,Married,Female,"Conservation officer, historic buildings",None,Catholic
1,Edwards Creek,Michael,Davis,20.0,Son,Single,Male,University Student,None,None
1,Edwards Creek,Malcolm,Davis,16.0,Son,,Male,Student,None,
2,Edwards Creek,Claire,Humphries,40.0,Head,Married,Female,"Engineer, manufacturing",None,Christian
2,Edwards Creek,Martyn,Humphries,42.0,Husband,Married,Male,"Scientist, forensic",None,Christian
2,Edwards Creek,Andrew,Humphries,9.0,Son,,Male,Student,None,
3,Edwards Creek,Rosie,Hawkins,41.0,Head,Single,Female,Unemployed,None,None
3,Edwards Creek,Mohamed,Hawkins,23.0,Adopted Son,Single,Male,Geographical information systems officer,None,None
3,Edwards Creek,Judith,Hawkins,20.0,Daughter,Single,Female,University Student,None,None
4,Edwards Creek,Sheila,Hope,43.0,Head,Married,Female,Astronomer,None,Christian
4,Edwards Creek,Keith,Hope,40.0,Husband,Married,Male,Unemployed,None,Christian
4,Edwards Creek,Vincent,Hope,15.0,Son,,Male,Student,None,
5,Edwards Creek,Sean,Bradley,56.0,Head,Single,Male,Location manager,None,Christian
5,Edwards Creek,Kerry,Chandler,42.0,None,Single,Female,Radiation protection practitioner,None,None
5,Edwards Creek,Wayne,Chamberlain,41.0,None,Single,Male,"Producer, radio",None,Methodist
5,Edwards Creek,Leah,Pearson,35.0,None,Single,Female,"Social research officer, government",None,Christian
5,Edwards Creek,Olivia,Carr,56.0,None,Single,Female,Theatre stage manager,None,None
6,Edwards Creek,Mandy,Farmer,58.0,Head,Single,Female,Licensed conveyancer,None,Catholic
7,Edwards Creek,Marie,Hill,55.0,Head,Single,Female,"Scientist, research (medical)",None,Christian
7,Edwards Creek,Albert,Hill,24.0,Son,Single,Male,Data processing manager,None,Christian
7,Edwards Creek,Stuart,Hill,22.0,Son,Single,Male,University Student,None,Christian
8,Edwards Creek,Sophie,Allen,46.0,Head,Married,Female,"Engineer, materials",None,None
8,Edwards Creek,Max,Allen,48.0,Husband,Married,Male,"Designer, jewellery",None,None
8,Edwards Creek,Terence,Allen,14.0,Son,,Male,Student,None,
8,Edwards Creek,Tracey,Allen,10.0,Adopted Daughter,,Female,Student,None,
8,Edwards Creek,Samuel,Allen,4.0,Son,,Male,Child,None,
9,Edwards Creek,Josephine,Chapman,44.0,Head,Married,Female,Cytogeneticist,None,Catholic
9,Edwards Creek,Abdul,Chapman,47.0,Husband,Married,Male,Counselling psychologist,None,Catholic
9,Edwards Creek,Heather,Chapman,16.0,Daughter,,Female,Student,None,
10,Edwards Creek,Janet,Quinn,40.0,Head,Married,Female,"Optician, dispensing",None,Christian
10,Edwards Creek,David,Quinn,46.0,Husband,Married,Male,Optometrist,None,None
10,Edwards Creek,Lawrence,Quinn,17.0,Son,,Male,Student,None,
11,Edwards Creek,Shaun,Wallace,42.0,Head,Single,Male,Database administrator,None,Christian
11,Edwards Creek,Pauline,Parsons,6.0,Neice,,Female,Student,None,
11,Edwards Creek,Rachael,Parsons,6.0,Neice,,Female,Student,None,
12,Edwards Creek,Maurice,Simpson,36.0,Head,Divorced,Male,Unemployed,None,Catholic
12,Edwards Creek,Lee,Hunt,11.0,Nephew,,Male,Student,None,
12,Edwards Creek,Jayne,Hunt,9.0,Neice,,Female,Student,None,
13,Edwards Creek,Elizabeth,Rogers,53.0,Head,Single,Female,"Teacher, special educational needs",None,Christian
13,Edwards Creek,Frank,Hewitt,55.0,Partner,Single,Male,"Chemist, analytical",None,Christian
13,Edwards Creek,Ryan,Rogers,21.0,Son,Single,Male,University Student,None,Christian
13,Edwards Creek,Gareth,Rogers,13.0,Son,,Male,Student,None,
14,Edwards Creek,Wendy,Coates,47.0,Head,Married,Female,Unemployed,None,None
14,Edwards Creek,Bradley,Coates,49.0,Husband,Married,Male,Unemployed,None,None
14,Edwards Creek,Geraldine,Coates,25.0,Daughter,Single,Female,Podiatrist,None,None
14,Edwards Creek,Graham,Coates,24.0,Son,Divorced,Male,Astronomer,None,None
14,Edwards Creek,Malcolm,Coates,10.0,Son,,Male,Student,None,
15,Edwards Creek,Michelle,Martin,32.0,Head,Divorced,Female,Print production planner,None,None
15,Edwards Creek,Linda,Martin,7.0,Daughter,,Female,Student,None,
15,Edwards Creek,Sam,Martin,3.0,Son,,Male,Child,Unknown Infection,
15,Edwards Creek,Jayne,Martin,0.0,Daughter,,Female,Child,None,
15,Edwards Creek,Christine,Rowe,37.0,Lodger,Single,Female,Bookseller,None,Catholic
16,Edwards Creek,Rachel,Smith,75.0,Head,Married,Female,"Retired Psychologist, counselling",None,Christian
16,Edwards Creek,Toby,Smith,77.0,Husband,Married,Male,"Retired Designer, multimedia",None,None
16,Edwards Creek,Bernard,Moss,11.0,Grandson,,Male,Student,None,
17,Edwards Creek,Lewis,Potter,40.0,Head,Single,Male,Surgeon,None,None
18,Edwards Creek,Debra,Stevens,39.0,Head,Single,Female,Clinical molecular geneticist,None,Catholic
18,Edwards Creek,Ashley,Connor,42.0,Partner,Single,Male,"Scientist, audiological",None,Catholic
18,Edwards Creek,Mandy,Stevens,2.0,Daughter,,Female,Child,None,
18,Edwards Creek,Ellie,Stevens,1.0,Daughter,,Female,Child,None,
18,Edwards Creek,Robert,Barnett,35.0,Lodger,Widowed,Male,Air traffic controller,None,None
18,Edwards Creek,Amber,McDonald,43.0,Cousin,Single,Female,"Scientist, water quality",None,Catholic
19,Edwards Creek,Megan,Stewart,45.0,Head,Divorced,Female,Unemployed,None,Christian
19,Edwards Creek,Sandra,Stewart,13.0,Daughter,,Female,Student,None,
20,Edwards Creek,Reece,Kerr,55.0,Head,Married,Male,"Surveyor, building",None,Christian
20,Edwards Creek,Irene,Bibi,53.0,Wife,Married,Female,"Scientist, marine",None,Christian
21,Edwards Creek,Dawn,Brown,49.0,Head,Married,Female,Patent attorney,None,None
21,Edwards Creek,Gregory,Brown,51.0,Husband,Married,Male,Building services engineer,None,None
21,Edwards Creek,Jay,Brown,23.0,Son,Single,Male,"Teacher, special educational needs",None,None
22,Edwards Creek,Rosie,Begum,36.0,Head,Married,Female,Unemployed,None,Methodist
22,Edwards Creek,Joel,Begum,37.0,Husband,Married,Male,Audiological scientist,None,Methodist
22,Edwards Creek,Lisa,Begum,2.0,Daughter,,Female,Child,None,
23,Edwards Creek,Albert,Briggs,72.0,Head,Married,Male,"Retired Sales professional, IT",None,Christian
23,Edwards Creek,Sandra,Briggs,64.0,Wife,Married,Female,"Restaurant manager, fast food",None,Christian
23,Edwards Creek,Louise,Briggs,27.0,Daughter,Divorced,Female,"Lecturer, further education",None,None
24,Edwards Creek,Lauren,Stephenson,48.0,Head,Widowed,Female,Barista,None,Catholic
24,Edwards Creek,Kathleen,Joyce,42.0,None,Single,Female,Community development worker,None,Catholic
24,Edwards Creek,David,Collins,35.0,None,Single,Male,Clinical psychologist,None,Catholic
25,Edwards Creek,Amelia,O'Brien,50.0,Head,Married,Female,"Designer, jewellery",None,Christian
25,Edwards Creek,Lawrence,O'Brien,56.0,Husband,Married,Male,Manufacturing engineer,None,Christian
25,Edwards Creek,Frances,White,15.0,Daughter,,Female,Student,None,
26,Edwards Creek,Joanne,Coleman,34.0,Head,Married,Female,Data processing manager,None,None
26,Edwards Creek,Leslie,Coleman,33.0,Husband,Married,Male,Sports administrator,None,None
26,Edwards Creek,Georgina,Coleman,15.0,Daughter,,Female,Student,None,
27,Edwards Creek,Kimberley,Read,59.0,Head,Single,Female,Retail buyer,None,Christian
27,Edwards Creek07,Janet,Wilson,40.0,None,Single,Female,"Engineer, maintenance (IT)",None,Methodist
27,Edwards Creek,Hazel,Hobbs,30.0,None,Single,Female,Electrical engineer,None,None
27,Edwards Creek,Amber,Campbell,29.0,None,Single,Female,Press sub,None,Catholic
28,Edwards Creek,Glen,Hawkins,59.0,Head,Single,Male,Curator,None,Methodist
28,Edwards Creek,Jane,Lee,38.0,None,Single,Female,Education administrator,None,Christian
28,Edwards Creek,Keith,Ahmed,56.0,None,Single,Male,Microbiologist,None,None
28,Edwards Creek,Dennis,Thompson,44.0,None,Single,Male,Public house manager,None,None
28,Edwards Creek,Valerie,Freeman,37.0,None,Single,Female,Exercise physiologist,None,None
29,Edwards Creek,Kayleigh,Heath,47.0,Head,Married,Female,Actor,None,Catholic
29,Edwards Creek,Lewis,Heath,49.0,Husband,Married,Male,Location manager,None,Catholic
29,Edwards Creek,Sean,Heath,16.0,Adopted Son,,Male,Student,None,
30,Edwards Creek,Graham,Mitchell,49.0,Head,Married,Male,Futures trader,None,None
30,Edwards Creek,Diane,Mitchell,45.0,Wife,Married,Female,Commercial horticulturist,None,None
31,Edwards Creek,Jennifer,Ali,49.0,Head,Married,Female,Marketing executive,None,None
31,Edwards Creek,Bernard,Ali,52.0,Husband,Married,Male,Nature conservation officer,None,None
31,Edwards Creek,Robin,Ali,17.0,Son,,Male,Student,None,
32,Edwards Creek,Gerard,Jenkins,44.0,Head,Married,Male,Radio producer,None,None
32,Edwards Creek,Mandy,Jenkins,45.0,Wife,Married,Female,Animator,None,None
32,Edwards Creek,Martin,Jenkins,13.0,Son,,Male,Student,None,
33,Edwards Creek,Rita,Barker,40.0,Head,Married,Female,Secondary school teacher,None,Methodist
33,Edwards Creek,Rhys,Barker,42.0,Husband,Married,Male,Dance movement psychotherapist,None,None
34,Edwards Creek,Teresa,Kerr,39.0,Head,Married,Female,Social worker,None,None
34,Edwards Creek,Richard,Kerr,41.0,Husband,Married,Male,"Scientist, marine",None,None
34,Edwards Creek,Pauline,Kerr,12.0,Daughter,,Female,Student,None,
35,Edwards Creek,Sian,Barker,50.0,Head,Married,Female,Heritage manager,None,Christian
35,Edwards Creek,Owen,Barker,52.0,Husband,Married,Male,General practice doctor,None,Christian
35,Edwards Creek,Thomas,Barker,15.0,Son,,Male,Student,None,
36,Edwards Creek,Josephine,Watson,47.0,Head,Divorced,Female,"Engineer, communications",None,Catholic
36,Edwards Creek,Wayne,Watson,16.0,Son,,Male,Student,None,
36,Edwards Creek,Kim,Watson,15.0,Daughter,,Female,Student,None,
36,Edwards Creek,Wayne,Watson,13.0,Son,,Male,Student,None,
37,Edwards Creek,Bethany,Patel,38.0,Head,Married,Female,Product manager,None,None
37,Edwards Creek,James,Patel,41.0,Husband,Married,Male,Dealer,None,None
37,Edwards Creek,Charles,Patel,16.0,Son,,Male,Student,None,
