House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion,Age Group
1,Edwards Creek,Kyle,Davis,47,Head,Married,Male,Unemployed,Not Specified,Catholic,"(40, 50]"
1,Edwards Creek,Alexandra,Davis,49,Wife,Married,Female,"Conservation officer, historic buildings",Not Specified,Catholic,"(40, 50]"
1,Edwards Creek,Michael,Davis,20,Son,Single,Male,University Student,Not Specified,Not Specified,"(17, 30]"
1,Edwards Creek,Malcolm,Davis,16,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
2,Edwards Creek,Claire,Humphries,40,Head,Married,Female,"Engineer, manufacturing",Not Specified,Christian,"(30, 40]"
2,Edwards Creek,Martyn,Humphries,42,Husband,Married,Male,"Scientist, forensic",Not Specified,Christian,"(40, 50]"
2,Edwards Creek,Andrew,Humphries,9,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
3,Edwards Creek,Rosie,Hawkins,41,Head,Single,Female,Unemployed,Not Specified,Not Specified,"(40, 50]"
3,Edwards Creek,Mohamed,Hawkins,23,Adopted Son,Single,Male,Geographical information systems officer,Not Specified,Not Specified,"(17, 30]"
3,Edwards Creek,Judith,Hawkins,20,Daughter,Single,Female,University Student,Not Specified,Not Specified,"(17, 30]"
4,Edwards Creek,Sheila,Hope,43,Head,Married,Female,Astronomer,Not Specified,Christian,"(40, 50]"
4,Edwards Creek,Keith,Hope,40,Husband,Married,Male,Unemployed,Not Specified,Christian,"(30, 40]"
4,Edwards Creek,Vincent,Hope,15,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
5,Edwards Creek,Sean,Bradley,56,Head,Single,Male,Location manager,Not Specified,Christian,"(50, 60]"
5,Edwards Creek,Kerry,Chandler,42,Not Specified,Single,Female,Radiation protection practitioner,Not Specified,Not Specified,"(40, 50]"
5,Edwards Creek,Wayne,Chamberlain,41,Not Specified,Single,Male,"Producer, radio",Not Specified,Methodist,"(40, 50]"
5,Edwards Creek,Leah,Pearson,35,Not Specified,Single,Female,"Social research officer, government",Not Specified,Christian,"(30, 40]"
5,Edwards Creek,Olivia,Carr,56,Not Specified,Single,Female,Theatre stage manager,Not Specified,Not Specified,"(50, 60]"
6,Edwards Creek,Mandy,Farmer,58,Head,Single,Female,Licensed conveyancer,Not Specified,Catholic,"(50, 60]"
7,Edwards Creek,Marie,Hill,55,Head,Single,Female,"Scientist, research (medical)",Not Specified,Christian,"(50, 60]"
7,Edwards Creek,Albert,Hill,24,Son,Single,Male,Data processing manager,Not Specified,Christian,"(17, 30]"
7,Edwards Creek,Stuart,Hill,22,Son,Single,Male,University Student,Not Specified,Christian,"(17, 30]"
8,Edwards Creek,Sophie,Allen,46,Head,Married,Female,"Engineer, materials",Not Specified,Not Specified,"(40, 50]"
